sku,fetch_date,price,carat,cut,color,clarity,depth,tableth,girdle,symmetry,polish,culet,fluorescence,length,width,height,lnwdthratio,shape,pricePerCarat,certLab,certPresent
LD02673901,10/07/2012,1065,0.5,Ideal,J,VS2,62.3,57,Medium to Slightly Thick,Excellent,Very Good,None,None,5.09,5.06,3.16,1.01,RD,2130,GIA,"true"
LD02751756,25/08/2012,6695,1.04,Ideal,G,SI1,60.4,59,Medium to Medium,Excellent,Excellent,None,None,6.58,6.54,3.96,1.01,RD,6438,GIA,"true"
LD02690222,18/07/2012,2990,0.72,Ideal,H,VVS2,61.6,56,Medium to Slightly Thick,Excellent,Excellent,None,Medium,5.78,5.76,3.55,1,RD,4153,GIA,"true"
LD02663832,03/07/2012,27171,3.02,Ideal,J,SI2,60.5,60,Medium to Slightly Thick,Excellent,Excellent,None,None,9.34,9.29,5.64,1.01,RD,8997,GIA,"true"
LD02617817,07/07/2012,29508,3.07,Ideal,J,SI1,62.5,57,Medium to Slightly Thick,Excellent,Excellent,None,None,9.27,9.23,5.78,1,RD,9612,GIA,"true"
LD02666207,05/07/2012,1609,0.53,Ideal,I,VS1,62.3,57,Medium to Slightly Thick,Excellent,Excellent,None,None,5.18,5.17,3.22,1,RD,3036,GIA,"true"
LD02709092,01/08/2012,18419,2.06,Ideal,H,SI2,62.7,55,Medium to Medium,Excellent,Excellent,None,None,8.11,8.13,5.09,1,RD,8941,GIA,"true"
LD02763616,30/08/2012,9249,1.01,Ideal,G,VVS2,59.4,60,Medium to Medium,Excellent,Excellent,None,None,6.55,6.52,3.89,1,RD,9157,GIA,"true"
LD02676417,11/07/2012,924,0.4,Ideal,F,VS2,60.4,62,Medium to Slightly Thick,Excellent,Excellent,None,None,4.79,4.76,2.88,1.01,RD,2310,GIA,"true"
LD02724125,10/08/2012,4771,1,Good,H,SI2,61.8,63,Thick to Very Thick,Good,Excellent,None,None,6.35,6.24,3.89,1.02,RD,4771,GIA,"true"
LD02700219,25/07/2012,806,0.36,Ideal,D,VS2,62.6,57,Medium to Slightly Thick,Excellent,Excellent,None,None,4.56,4.54,2.85,1,RD,2239,GIA,"true"
LD02663568,03/07/2012,2206,0.5,Ideal,F,VS1,62.3,59,Medium to Slightly Thick,Excellent,Excellent,None,None,5.11,5.07,3.17,1.01,RD,4412,GIA,"true"
LD02628019,23/07/2012,471,0.3,Ideal,G,SI1,60.5,60,Medium to Slightly Thick,Excellent,Excellent,None,None,4.3,4.34,2.62,1.01,RD,1570,GIA,"true"
LD02686279,17/07/2012,5338,1,Good,H,SI1,65.2,58,Slightly Thick to Thick,Very Good,Very Good,None,Faint,6.21,6.22,4.05,1,RD,5338,GIA,"true"
LD02746630,23/08/2012,1618,0.6,Very Good,F,VS1,70.3,70,Medium to Slightly Thick,Very Good,Excellent,None,None,4.78,4.68,3.29,1.02,PR,2697,GIA,"true"
LD02689087,18/07/2012,3443,0.9,Very Good,G,SI1,68.7,63,Medium to Extremely Thick,Good,Very Good,Slightly Large,None,5.87,5.14,3.53,1.14,CU,3826,GIA,"true"
LD02673510,10/07/2012,368,0.26,Very Good,F,VS1,66.7,68,Medium to Slightly Thick,Very Good,Very Good,None,None,4.24,3.22,2.15,1.32,EC,1415,GIA,"true"
LD02718689,06/08/2012,6541,1.09,Ideal,I,VS1,62.2,58,Medium to Slightly Thick,Excellent,Excellent,None,Faint,6.57,6.6,4.09,1,RD,6001,GIA,"true"
LD02711030,01/08/2012,1495,0.47,Very Good,I,VVS2,71.2,71,Medium to Medium,Excellent,Excellent,None,None,4.43,4.32,3.08,1.03,PR,3181,GIA,"true"
LD02657524,11/07/2012,1993,0.51,Ideal,H,VVS1,62.1,55,Thin to Slightly Thick,Very Good,Excellent,None,Medium,5.12,5.14,3.18,1,RD,3908,GIA,"true"
LD02735538,16/08/2012,453,0.3,Ideal,E,VS2,62.8,56,Medium to Medium,Very Good,Excellent,None,Strong,4.29,4.32,2.7,1.01,RD,1510,GIA,"true"
LD02705340,28/07/2012,2138,0.5,Very Good,G,VVS2,63.4,56,Medium to Thick,Excellent,Excellent,None,None,5.01,5.01,3.18,1,RD,4276,GIA,"true"
LD02751405,25/08/2012,781,0.5,Very Good,H,SI1,58.6,60,Slightly Thick to Extremely Thick,Very Good,Very Good,None,Faint,8.63,4.12,2.41,2.09,MQ,1562,GIA,"true"
LD02690056,18/07/2012,1106,0.5,Ideal,J,VS2,60.8,57,Medium to Medium,Excellent,Excellent,None,Faint,5.15,5.12,3.12,1.01,RD,2212,GIA,"true"
LD02665120,04/07/2012,1785,0.6,Ideal,H,SI1,62.7,55,Medium to Medium,Excellent,Excellent,None,None,5.41,5.37,3.38,1.01,RD,2975,GIA,"true"
LD02680331,17/07/2012,835,0.4,Ideal,E,SI1,60.9,61,Slightly Thick to Slightly Thick,Excellent,Excellent,None,None,4.75,4.73,2.88,1,RD,2088,GIA,"true"
LD02676326,11/07/2012,3345,0.6,Ideal,E,VVS1,62.4,55,Thin to Medium,Excellent,Excellent,None,None,5.42,5.39,3.37,1.01,RD,5575,GIA,"true"
LD02667130,05/07/2012,562,0.32,Ideal,G,VS1,61.6,56,Thin to Medium,Very Good,Excellent,None,None,4.42,4.47,2.74,1.01,RD,1756,GIA,"true"
LD02622648,30/06/2012,3227,0.71,Ideal,H,VS1,62.3,58,Medium to Slightly Thick,Excellent,Excellent,None,None,5.72,5.68,3.55,1.01,RD,4545,GIA,"true"
LD02733657,15/08/2012,1310,0.44,Ideal,F,VVS1,62.6,56,Medium to Slightly Thick,Excellent,Excellent,None,Medium,4.88,4.86,3.05,1,RD,2977,GIA,"true"
