fetch_date,sku,price
01/07/2012,LD02652808,739
01/07/2012,LD02653556,744
01/07/2012,LD02652880,876
01/07/2012,LD02639704,892
01/07/2012,LD02660257,410
01/07/2012,LD02660171,421
02/07/2012,LD02659056,17178
02/07/2012,LD02632560,16512
02/07/2012,LD02656200,16649
02/07/2012,LD02659080,16944
02/07/2012,LD02659042,26477
02/07/2012,LD02632562,17183
02/07/2012,LD02662345,19441
02/07/2012,LD02658461,14321
02/07/2012,LD02661348,26964
02/07/2012,LD02660061,8238
02/07/2012,LD02659113,9797
02/07/2012,LD02617748,11197
02/07/2012,LD02656122,11164
02/07/2012,LD02660997,7216
02/07/2012,LD02658730,8739
02/07/2012,LD02609301,9506
02/07/2012,LD02660515,6366
02/07/2012,LD02650752,6160
02/07/2012,LD02659103,6846
02/07/2012,LD02659085,9505
02/07/2012,LD02598688,11847
02/07/2012,LD02662340,11738
02/07/2012,LD02656166,11837
02/07/2012,LD02656354,4916
02/07/2012,LD02640103,9348
02/07/2012,LD02662356,13125
02/07/2012,LD02659985,10412
02/07/2012,LD02627074,9042
02/07/2012,LD02642336,6307
02/07/2012,LD02658442,9126
02/07/2012,LD02661504,4514
02/07/2012,LD02656194,3185
02/07/2012,LD02656343,4061
02/07/2012,LD02659047,7202
02/07/2012,LD02658560,25451
02/07/2012,LD02660443,3153
02/07/2012,LD02661492,3958
02/07/2012,LD02658547,4953
02/07/2012,LD02661614,5133
02/07/2012,LD02661848,5568
02/07/2012,LD02660534,6511
02/07/2012,LD02659098,6840
02/07/2012,LD02660988,9297
02/07/2012,LD02658839,9341
02/07/2012,LD02659062,11147
02/07/2012,LD02660367,4632
02/07/2012,LD02641363,4960
02/07/2012,LD02626006,5286
02/07/2012,LD02650597,5782
02/07/2012,LD02656196,6694
02/07/2012,LD02656188,10759
02/07/2012,LD02660390,12030
02/07/2012,LD02659890,16979
02/07/2012,LD02661669,3367
02/07/2012,LD02661718,6240
02/07/2012,LD02655766,4572
02/07/2012,LD02660102,4812
02/07/2012,LD02660427,2835
02/07/2012,LD02660426,2974
02/07/2012,LD02661685,3662
02/07/2012,LD02652935,3878
02/07/2012,LD02652744,4404
02/07/2012,LD02655494,4641
02/07/2012,LD02659775,4858
02/07/2012,LD02640395,7380
02/07/2012,LD02660245,4049
02/07/2012,LD02660653,4010
02/07/2012,LD02656278,3100
02/07/2012,LD02659977,2452
02/07/2012,LD02655593,3178
02/07/2012,LD02658880,3200
02/07/2012,LD02661139,3228
02/07/2012,LD02628065,3619
02/07/2012,LD02658718,2089
02/07/2012,LD02622891,2985
