date,sku,price
25/06/2012,LD02619050,2306
25/06/2012,LD02618848,2385
25/06/2012,LD02611663,2392
25/06/2012,LD02629415,2599
25/06/2012,LD02631462,2696
25/06/2012,LD02602404,2771
25/06/2012,LD02595810,2934
25/06/2012,LD02595740,2943
25/06/2012,LD02632285,3102
25/06/2012,LD02633400,3261
25/06/2012,LD02601326,3317
25/06/2012,LD02603996,3356
25/06/2012,LD02588116,3514
25/06/2012,LD02595961,3704
25/06/2012,LD02619065,3773
25/06/2012,LD02603776,3870
25/06/2012,LD02610792,4630
25/06/2012,LD02607369,4788
25/06/2012,LD02611922,1726
25/06/2012,LD02604850,1942
25/06/2012,LD02600126,1973
25/06/2012,LD02633363,1999
25/06/2012,LD02636025,2102
25/06/2012,LD02605520,2126
25/06/2012,LD02595769,2165
25/06/2012,LD02601996,2186
25/06/2012,LD02638731,2218
25/06/2012,LD02638380,2304
25/06/2012,LD02631474,2382
25/06/2012,LD02622594,2426
25/06/2012,LD02602670,2441
25/06/2012,LD02605699,2517
25/06/2012,LD02592443,2520
25/06/2012,LD02603471,2587
25/06/2012,LD02599612,2607
25/06/2012,LD02593542,2629
25/06/2012,LD02611855,2645
25/06/2012,LD02600244,2655
25/06/2012,LD02615375,2746
25/06/2012,LD02599832,2780
25/06/2012,LD02604165,2786
25/06/2012,LD02611032,2811
25/06/2012,LD02638848,2849
25/06/2012,LD02605015,2887
25/06/2012,LD02604419,2907
25/06/2012,LD02587394,2981
25/06/2012,LD02635280,3002
25/06/2012,LD02587768,3084
25/06/2012,LD02605056,3106
25/06/2012,LD02606150,3106
25/06/2012,LD02635180,3133
25/06/2012,LD02596118,3135
25/06/2012,LD02635223,3137
25/06/2012,LD02599429,3138
25/06/2012,LD02638761,3227
25/06/2012,LD02601689,3326
25/06/2012,LD02621001,3339
25/06/2012,LD02638273,3361
25/06/2012,LD02587621,3496
25/06/2012,LD02605710,3515
25/06/2012,LD02602741,3564
25/06/2012,LD02604189,3613
25/06/2012,LD02589730,3807
25/06/2012,LD02600351,3833
25/06/2012,LD02604101,3879
25/06/2012,LD02636974,3985
25/06/2012,LD02589072,4104
25/06/2012,LD02638498,4251
25/06/2012,LD02624697,4537
25/06/2012,LD02589062,4549
25/06/2012,LD02638362,4640
25/06/2012,LD02598844,4742
25/06/2012,LD02637112,4866
25/06/2012,LD02606191,5051
25/06/2012,LD02610668,3199
25/06/2012,LD02587958,3497
25/06/2012,LD02622736,2071
25/06/2012,LD02622780,2298
25/06/2012,LD02611968,1994
25/06/2012,LD02599698,3164
25/06/2012,LD02638268,3378
25/06/2012,LD02583767,2549
25/06/2012,LD02633208,3084
25/06/2012,LD02596917,3153
25/06/2012,LD02602207,2539
25/06/2012,LD02614424,2770
25/06/2012,LD02629983,3037
25/06/2012,LD02612935,3245
25/06/2012,LD02621027,3506
25/06/2012,LD02630633,4217
25/06/2012,LD02633553,1427
25/06/2012,LD02622089,1898
25/06/2012,LD02597451,2078
25/06/2012,LD02616894,2084
25/06/2012,LD02628448,2113
25/06/2012,LD02593470,2533
25/06/2012,LD02597295,2577
25/06/2012,LD02618290,2669
25/06/2012,LD02583923,2744
25/06/2012,LD02600262,3138
25/06/2012,LD02597704,3229
25/06/2012,LD02582491,3256
25/06/2012,LD02628567,1217
25/06/2012,LD02611410,1282
25/06/2012,LD02637246,1315
25/06/2012,LD02620784,1641
25/06/2012,LD02611957,1687
25/06/2012,LD02597639,1707
25/06/2012,LD02592740,1807
25/06/2012,LD02611850,1831
25/06/2012,LD02620734,1904
25/06/2012,LD02590841,1942
25/06/2012,LD02638736,1948
25/06/2012,LD02603089,2053
25/06/2012,LD02601251,2129
25/06/2012,LD02635119,2141
25/06/2012,LD02597124,2143
25/06/2012,LD02597179,2143
25/06/2012,LD02638320,2150
25/06/2012,LD02620732,2309
25/06/2012,LD02637215,2312
25/06/2012,LD02602415,2400
25/06/2012,LD02620756,2415
25/06/2012,LD02621700,2428
25/06/2012,LD02632351,2562
25/06/2012,LD02618476,2600
25/06/2012,LD02622871,2733
25/06/2012,LD02620763,2735
25/06/2012,LD02620681,2753
25/06/2012,LD02620752,2753
25/06/2012,LD02620790,2799
25/06/2012,LD02629981,2888
25/06/2012,LD02628659,2922
25/06/2012,LD02582484,2931
25/06/2012,LD02628469,2992
25/06/2012,LD02594411,3015
25/06/2012,LD02600311,3028
25/06/2012,LD02589227,3094
25/06/2012,LD02597804,3318
25/06/2012,LD02601166,5145
25/06/2012,LD02623264,1555
25/06/2012,LD02631445,1617
25/06/2012,LD02622960,1613
25/06/2012,LD02613026,1591
25/06/2012,LD02601376,2634
25/06/2012,LD02622782,2982
25/06/2012,LD02606116,4643
25/06/2012,LD02636646,1180
25/06/2012,LD02605745,1288
25/06/2012,LD02627425,1824
25/06/2012,LD02638521,2183
25/06/2012,LD02625445,2249
25/06/2012,LD02636730,2569
25/06/2012,LD02620491,3162
25/06/2012,LD02614540,1960
25/06/2012,LD02638166,2069
25/06/2012,LD02636572,2246
25/06/2012,LD02629454,1300
25/06/2012,LD02616237,1480
25/06/2012,LD02609889,1895
25/06/2012,LD02623788,2191
25/06/2012,LD02634984,2284
25/06/2012,LD02638228,2430
25/06/2012,LD02623805,2953
25/06/2012,LD02602665,1335
25/06/2012,LD02638018,1389
25/06/2012,LD02610511,1432
25/06/2012,LD02637919,1445
25/06/2012,LD02627700,1452
25/06/2012,LD02638705,1538
25/06/2012,LD02623281,1548
25/06/2012,LD02609833,1637
25/06/2012,LD02602044,1686
25/06/2012,LD02610355,1979
25/06/2012,LD02608864,2198
25/06/2012,LD02638100,2278
25/06/2012,LD02638688,3028
25/06/2012,LD02637749,926
25/06/2012,LD02600667,1345
25/06/2012,LD02636809,1445
25/06/2012,LD02632318,1485
25/06/2012,LD02606132,1612
25/06/2012,LD02591381,1788
25/06/2012,LD02638833,2040
25/06/2012,LD02610495,2102
25/06/2012,LD02635066,2165
25/06/2012,LD02595613,2653
25/06/2012,LD02610640,2845
25/06/2012,LD02628933,973
25/06/2012,LD02633536,1021
25/06/2012,LD02625235,1270
25/06/2012,LD02637561,1277
25/06/2012,LD02587779,1284
25/06/2012,LD02617064,1343
25/06/2012,LD02620647,1363
25/06/2012,LD02634425,1367
25/06/2012,LD02592436,1382
25/06/2012,LD02625852,1385
25/06/2012,LD02632252,1409
25/06/2012,LD02602091,1425
25/06/2012,LD02601058,1469
25/06/2012,LD02605953,1475
25/06/2012,LD02612272,1520
25/06/2012,LD02589154,1539
25/06/2012,LD02597886,1603
25/06/2012,LD02621107,1623
25/06/2012,LD02596114,1663
25/06/2012,LD02635024,1671
25/06/2012,LD02622799,1812
25/06/2012,LD02620630,1823
25/06/2012,LD02628420,1950
25/06/2012,LD02638341,2032
25/06/2012,LD02588779,2148
25/06/2012,LD02601488,2200
25/06/2012,LD02619809,2372
25/06/2012,LD02630245,2384
25/06/2012,LD02605401,2398
25/06/2012,LD02632271,2485
25/06/2012,LD02620401,2548
25/06/2012,LD02595831,2555
25/06/2012,LD02637296,910
25/06/2012,LD02633392,944
25/06/2012,LD02595778,959
25/06/2012,LD02637002,976
25/06/2012,LD02637071,981
25/06/2012,LD02636643,1002
25/06/2012,LD02601317,1039
25/06/2012,LD02637902,1064
25/06/2012,LD02589102,1070
25/06/2012,LD02637429,1072
25/06/2012,LD02638016,1198
25/06/2012,LD02631824,1199
25/06/2012,LD02637284,1212
25/06/2012,LD02632359,1214
25/06/2012,LD02622069,1221
25/06/2012,LD02609119,1231
25/06/2012,LD02637493,1257
25/06/2012,LD02599312,1315
25/06/2012,LD02638726,1320
25/06/2012,LD02638583,1352
25/06/2012,LD02636916,1359
25/06/2012,LD02606044,1365
25/06/2012,LD02637182,1371
25/06/2012,LD02601156,1398
25/06/2012,LD02611813,1415
25/06/2012,LD02616299,1469
25/06/2012,LD02604803,1502
25/06/2012,LD02600202,1524
25/06/2012,LD02612481,1532
25/06/2012,LD02614485,1551
25/06/2012,LD02611034,1555
25/06/2012,LD02603538,1575
25/06/2012,LD02613271,1586
25/06/2012,LD02610360,1589
25/06/2012,LD02622127,1589
25/06/2012,LD02597685,1609
25/06/2012,LD02620596,1611
25/06/2012,LD02600899,1629
25/06/2012,LD02606234,1655
